collection-date,vpn-id,customer-name,customer-abbr,vpn-type,topology,running-no,label-mode,huawei-label-mode,multicast,secondary-running-no,cisco-domain-topology,huawei-domain-topology
26/03/2021 15:53:00,IPR30003_BNG_PORTAL,PLDT,PLDT_BNG_PORTAL,infra,full-mesh,30003,per-ce,,,,,
26/03/2021 15:53:00,IPR30004_IT_LAN,SMART DMZ,SMART DMZ_IT LAN,infra,full-mesh,30004,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR30005_IT_DC,SMART DMZ,SMART DMZ_IT DC,infra,full-mesh,30005,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR30006_SECUREDNS,SMART_DMZ,SMART_DMZ_SECUREDNS,infra,full-mesh,30006,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR30011_IPTVMVPN,PLDT IPTV MULTICAST,PLDT IPTV MULTICAST ASBR,enterprise,full-mesh,30011,,,,,,
26/03/2021 15:53:00,IPR30012_NGNSIG,PLDT_NGNSIG,PLDT_NGNSIG,infra,full-mesh,30012,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR30024_SERVICE_CENTER,PLDT SMART SERVICE CENTER,SERVICE_CENTER,infra,full-mesh,30024,,per-instance,,,,
26/03/2021 15:53:00,IPR30031_IPTVMVPN,PLDT IPTV MULTICAST,PLDT IPTV MULTICAST,enterprise,full-mesh,30031,,,,,,
26/03/2021 15:53:00,IPR30044_HUANMS,PLDT_HUANMS,PLDT_HUANMS,infra,full-mesh,30044,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR30071_WAVION,PLDT_WAVION,PLDT_WAVION,infra,full-mesh,30071,,,,,,
26/03/2021 15:53:00,IPR30076_IPTV,PLDT_IPTV,PLDT_IPTV,infra,full-mesh,30076,per-vrf,per-instance,,,,
26/03/2021 15:53:00,IPR3007_BDO,"BDO UNIBANK, INC.",BDO01,enterprise,full-mesh,3007,per-ce,per-instance,,,,
